Feature1,Feature2,Correlation
X07,X14,0.9999999794371033
X56,X58,0.9999764973732734
X04,X46,0.9999201065229518
X20,X58,0.9998944630383992
X20,X56,0.9998801374489857
X17,X08,0.9995880536086785
X23,X19,0.9992895141356568
X31,X19,0.9992007881421544
X44,X43,0.9991321023460806
X10,X38,0.9989738485303622
X53,X54,0.9986965172385993
X31,X23,0.9984918824413519
X51,X03,0.998218863419907
X50,X46,0.997645517880954
X04,X50,0.9975916889765202
X18,X14,0.9957209408796578
X07,X18,0.9957028612591601
X09,X36,0.9950883847345648
X43,X56,0.9925517467343352
X43,X20,0.992518142141957
X43,X58,0.9925069808147362
X16,X26,0.9912949080020819
X44,X56,0.9866567691373085
X44,X58,0.9865919968696922
X44,X20,0.9865709192964014
X33,X63,0.9854007260370992
X11,X22,0.9824963309826962
X16,X12,0.9819100662575871
X22,X48,0.9797544432952845
X26,X12,0.9777318657521146
X49,X44,0.9750990724026328
X49,X43,0.9735873363309446
X20,X49,0.9593950018332877
X49,X56,0.9591223068882512
X49,X58,0.9586706518782226
X48,X11,0.9519041069901985
X34,X63,0.9505835261805081
X49,X30,0.9480703930758873
X52,X32,0.9448124917406543
X34,X33,0.9391874727152412
X32,X47,0.9352332902423292
X09,X63,0.9339670935266668
X36,X63,0.9312818859617816
X03,X02,0.9269827351926944
X02,X51,0.9267734499959013
X62,X30,0.9261827655488457
X54,X64,0.9255604468777584
X53,X64,0.9245604125262277
X30,X44,0.9229844697431154
X30,X43,0.9200984418485335
X22,X35,0.9151907583854605
X35,X11,0.9108981935055962
X36,X33,0.9108734452689176
X22,X63,0.90948615680311
X63,X35,0.9092851604682282
X49,X62,0.9080630344273785
X09,X33,0.9077134766956367
X11,X63,0.9066313209562197
X07,X11,0.9037284498996928
X11,X14,0.9037284123265339
X30,X56,0.9031580744808041
X58,X30,0.9027175413999384
X30,X20,0.9024140310541067
X63,X48,0.9014368816522905
X48,X35,0.8999407879888134
X11,X18,0.8998361598703186
X22,X07,0.8886146498628351
X22,X14,0.888614613123395
X33,X22,0.8880833180881887
X33,X35,0.8876140108452861
X33,X11,0.8851503922002099
X22,X18,0.8847881217536049
X62,X44,0.8845315935606084
X43,X62,0.8816467720268513
X33,X48,0.8809420001398441
X14,X48,0.8647015118610959
X07,X48,0.8647013558456865
X62,X20,0.8643514060435713
X56,X62,0.8641300988097933
X62,X58,0.8638494302891063
X48,X18,0.8610658406383457
X10,X25,0.85949487674636
X38,X25,0.8564989243084572
X02,X06,0.842915960775242
X34,X09,0.8310849335194859
X34,X36,0.8292142952765582
X14,X35,0.8221220453621687
X35,X07,0.8221219425983508
X18,X35,0.8186446345473658
X11,X24,0.8056275723506623
X22,X24,0.78064263078647
X03,X06,0.7602148459577528
X51,X06,0.7597131349880247
X24,X48,0.7450167446013918
X24,X35,0.7440528006068218
X07,X24,0.7395856303917233
X24,X14,0.7395856035226015
X34,X48,0.7379157443915892
X18,X24,0.7364007602872032
X56,X13,0.7363911055533003
X13,X58,0.7359681991428597
X13,X20,0.735633698213033
X34,X11,0.7343638095173575
X34,X22,0.7341283992814738
X35,X34,0.7200578943072957
X13,X43,0.717322650512652
X07,X63,0.7093152299103118
X14,X63,0.709315034626123
X44,X13,0.7086223148867586
X13,X19,0.706407725678876
X63,X18,0.7032208177919173
